amount,hour,attempts,fraud
41.75,6,3,0
20.02,13,2,0
124.03,5,1,0
70.37,8,3,0
58.94,15,2,0
79.71,15,3,0
51.89,18,3,0
105.82,11,2,0
20.79,13,1,0
61.35,17,3,0
136.75,11,2,0
52.38,0,4,0
133.02,11,2,0
141.71,6,5,1
117.63,9,1,0
122.38,3,4,1
11.75,8,2,0
108.23,12,2,0
92.59,10,1,0
187.32,14,4,0
101.19,18,2,0
27.07,5,1,0
91.29,18,3,0
107.82,22,2,0
13.78,7,1,0
86.22,8,1,0
80.59,11,4,0
99.0,0,1,0
152.78,16,2,0
88.03,17,1,0
30.62,12,1,0
185.85,2,2,1
58.11,4,3,0
49.76,0,1,0
42.85,1,1,0
18.88,6,1,0
48.53,8,2,0
60.76,11,3,0
79.85,0,4,1
94.37,5,2,0
25.04,18,2,0
56.87,7,2,0
15.05,18,2,0
98.33,3,1,0
196.78,18,1,1
81.09,8,2,0
39.43,11,2,0
69.87,19,2,0
125.45,14,3,0
39.73,7,3,0
35.92,17,1,0
63.11,13,1,0
132.24,8,3,0
81.77,5,2,0
90.82,14,4,0
103.25,2,1,0
161.57,3,4,1
67.74,7,4,0
46.5,18,1,0
105.41,0,1,0
141.58,10,3,0
92.75,11,1,0
60.34,1,2,0
175.73,16,3,0
10.4,10,5,0
73.1,10,1,0
65.38,13,2,0
20.33,5,1,0
51.23,16,5,0
98.32,7,2,0
89.4,14,2,0
119.06,19,1,0
47.21,6,4,1
208.34,5,2,0
137.12,1,3,0
46.57,7,1,0
78.06,2,1,0
108.69,16,1,0
45.43,13,2,0
193.2,5,2,0
97.01,23,1,0
96.52,22,1,0
92.32,0,1,0
91.68,4,1,0
92.83,11,1,0
103.82,0,2,0
37.92,5,1,0
60.6,10,1,0
69.48,8,2,0
178.66,12,2,0
161.08,11,2,0
66.16,13,2,0
58.26,9,2,0
77.61,7,1,0
69.67,13,2,0
80.6,18,1,0
25.38,8,2,0
67.71,20,3,0
118.25,23,1,0
42.08,11,1,0
62.85,20,2,0
163.77,19,2,0
39.9,20,2,0
20.02,19,2,0
132.64,22,1,0
51.58,4,2,0
141.77,17,2,0
50.73,3,2,0
97.73,11,3,1
56.9,3,1,0
202.53,20,3,1
62.23,2,1,0
13.98,7,2,0
30.53,18,1,0
116.2,1,2,0
62.12,9,2,0
115.67,17,2,0
40.67,3,2,0
116.37,23,3,1
132.6,13,1,0
84.18,4,3,0
121.2,7,2,0
76.6,11,3,0
25.89,1,1,0
52.32,11,2,0
66.35,9,2,0
89.55,8,2,0
141.94,19,1,0
91.81,20,2,0
56.34,16,3,0
83.41,20,1,0
25.67,23,1,0
117.12,15,2,0
85.04,11,1,0
31.79,15,2,0
91.63,23,1,0
40.11,16,2,0
120.95,9,2,0
140.95,21,1,0
66.0,11,4,0
69.92,2,2,0
25.65,17,3,0
38.91,10,2,0
16.82,11,3,0
107.71,3,3,1
143.68,4,2,0
19.25,21,3,0
50.52,17,2,0
148.07,8,3,0
70.41,21,3,0
33.61,21,1,0
35.72,8,2,0
90.91,8,3,0
144.3,9,1,0
46.71,23,2,0
23.46,7,2,0
138.94,22,1,0
144.16,16,2,0
61.31,21,1,0
54.22,11,2,0
166.19,5,3,0
44.85,5,2,0
107.59,9,1,0
80.04,21,2,0
18.48,23,4,0
80.46,0,2,0
23.61,16,2,0
34.6,20,2,0
31.57,11,3,0
203.22,20,3,0
161.53,8,2,0
28.95,2,2,0
32.73,9,2,0
28.09,0,2,0
106.2,20,1,0
120.93,15,3,0
38.61,21,3,0
15.25,14,1,0
17.41,2,2,0
15.4,4,2,0
94.28,19,2,0
45.39,10,2,0
77.55,9,1,0
108.76,2,3,0
26.06,4,1,0
91.12,9,2,0
194.65,13,1,0
33.58,12,2,0
74.61,11,2,0
183.34,21,2,0
89.79,7,3,0
162.77,9,1,0
148.37,19,2,0
79.63,3,2,0
62.62,4,3,1
196.25,22,2,0
65.56,6,4,0
155.36,15,2,0
69.96,8,2,0
102.95,3,2,0
50.47,13,1,0
54.13,1,1,0
66.51,5,2,0
70.25,9,1,0
270.48,6,3,1
88.79,5,1,0
11.63,0,1,0
27.2,8,2,0
293.72,22,1,1
155.53,6,1,0
196.09,8,1,0
9.35,21,1,0
81.68,21,2,0
147.61,19,2,0
149.07,23,1,0
39.46,16,2,0
125.46,7,1,0
126.81,2,3,0
122.67,19,1,0
51.72,18,1,0
84.7,10,3,0
58.41,9,4,0
113.19,8,2,0
205.07,20,2,1
28.47,14,2,0
199.69,1,2,1
35.43,17,2,0
41.99,3,3,0
188.87,10,2,0
79.46,3,5,0
68.71,13,3,0
128.16,19,4,0
77.24,15,2,0
95.89,22,1,0
243.41,12,2,0
29.54,17,3,0
35.16,6,5,0
89.98,7,2,0
39.5,14,2,0
45.48,1,5,0
40.94,14,1,0
242.04,23,2,0
181.95,12,1,0
64.09,4,3,0
97.9,15,1,0
135.17,19,2,0
155.22,8,3,0
30.7,11,2,0
81.09,7,1,0
56.53,8,2,0
136.49,0,1,0
76.07,9,2,0
63.0,0,1,0
21.2,1,2,0
33.96,4,2,0
45.15,2,1,0
117.88,13,3,0
42.56,20,5,0
50.25,3,2,0
78.38,10,1,0
56.12,21,3,0
83.49,16,1,0
194.37,7,3,0
46.41,7,1,0
83.83,20,1,0
45.85,11,1,0
81.68,20,3,0
35.16,19,2,0
28.76,19,3,0
101.35,15,1,0
114.09,6,2,0
31.32,9,2,0
26.82,17,2,0
21.79,11,1,0
42.92,4,2,0
299.73,23,2,1
25.58,15,2,0
151.78,0,3,0
20.84,14,1,0
148.66,9,1,0
38.02,11,2,0
155.19,3,2,1
53.75,0,1,0
258.51,2,2,0
133.83,2,2,0
111.83,1,3,0
86.98,2,4,1
23.99,18,2,0
55.17,7,2,0
114.79,10,2,0
33.83,10,1,0
65.61,13,1,0
34.64,1,1,0
101.12,7,1,0
255.89,4,1,0
62.13,9,2,0
101.17,3,1,0
48.51,10,4,0
82.61,21,5,1
28.98,19,4,0
135.22,5,2,0
100.57,2,1,0
313.93,23,4,1
141.25,4,1,0
74.44,23,3,1
141.42,4,3,0
89.18,12,2,0
76.47,11,1,0
147.64,7,2,0
16.47,11,4,0
16.34,11,1,0
72.76,16,3,1
86.55,15,1,0
179.79,23,3,1
84.91,11,1,0
69.12,22,4,0
140.98,11,1,0
102.97,5,2,0
85.45,12,1,0
255.15,9,1,0
86.24,12,2,0
109.03,12,4,0
96.81,8,1,0
20.46,18,3,0
26.39,14,1,0
27.65,12,3,0
69.21,12,3,0
107.01,3,1,0
174.79,19,1,0
11.63,1,2,0
58.9,3,2,0
256.05,8,5,1
300.76,12,3,1
126.07,14,2,0
293.7,19,2,0
50.63,4,1,0
23.31,10,1,0
66.84,10,2,0
92.92,23,2,0
166.66,9,1,0
129.96,22,1,0
93.64,23,2,0
74.67,4,2,0
76.08,16,3,0
21.24,17,1,0
36.49,23,2,0
44.58,9,3,0
127.13,12,4,0
118.91,21,1,0
76.51,11,2,0
22.1,17,1,0
77.15,23,1,0
176.42,5,2,0
127.55,9,1,0
117.15,11,3,0
54.17,13,1,0
39.82,16,2,0
95.32,0,2,1
165.08,7,1,0
63.17,4,3,0
103.76,23,2,0
170.52,6,2,0
40.2,17,3,0
59.93,5,2,0
20.11,7,4,0
34.13,10,3,0
13.82,16,3,0
64.74,21,2,0
147.71,22,2,0
102.53,5,4,0
82.89,10,1,0
101.63,1,2,0
22.86,6,1,0
32.04,13,2,0
96.66,23,1,0
44.64,8,2,0
45.36,3,4,0
63.5,1,1,0
35.94,21,6,1
75.74,18,1,0
271.22,0,1,0
78.27,22,2,0
54.92,8,1,0
105.61,17,4,0
94.32,20,2,0
14.08,19,3,0
276.4,13,1,1
68.78,18,1,0
25.11,11,2,0
127.33,23,3,0
118.73,1,2,0
287.38,3,3,1
23.16,0,1,0
176.09,21,2,0
141.83,8,1,0
27.28,16,1,0
189.92,21,1,0
51.5,22,1,0
27.68,5,2,0
106.49,20,2,0
21.64,17,3,0
72.59,13,2,0
70.45,9,1,0
107.24,15,1,0
84.0,19,2,0
94.26,5,2,0
11.23,11,1,0
58.93,8,3,0
63.64,6,2,0
83.21,3,3,0
51.15,2,2,0
219.28,9,2,0
55.54,22,2,0
93.28,19,1,0
119.8,5,2,0
88.23,8,2,0
31.83,4,1,0
54.71,21,4,0
87.63,6,1,0
41.31,4,1,0
116.51,13,2,0
84.24,15,5,1
83.41,23,2,0
23.1,5,1,0
63.03,21,3,0
51.86,15,2,0
114.47,11,5,0
44.95,18,1,0
58.1,20,1,0
55.38,21,2,0
134.66,9,2,0
32.67,18,2,0
43.15,17,2,0
27.73,3,1,0
114.21,1,3,1
34.73,16,2,0
78.3,0,7,1
124.91,7,2,0
24.16,16,1,0
88.26,12,1,0
88.72,12,3,0
56.5,3,2,0
140.47,20,2,0
91.59,10,2,0
115.56,14,2,0
175.59,15,1,0
133.16,11,2,0
125.67,2,2,0
48.03,4,2,0
95.67,14,1,0
65.5,7,2,0
84.29,21,2,0
103.95,8,2,0
58.14,12,2,0
49.71,11,1,0
40.71,7,2,0
72.79,17,4,0
75.28,4,2,0
29.3,14,3,0
20.09,11,1,0
80.48,3,1,0
82.83,9,2,0
27.07,7,1,0
54.05,16,1,0
62.47,7,2,0
167.48,17,3,0
203.57,23,2,1
44.54,16,1,0
97.96,13,1,0
129.96,18,2,0
207.14,12,1,0
25.71,18,2,0
53.6,23,2,0
93.18,17,2,0
55.17,20,1,0
58.06,6,1,0
15.76,2,1,0
21.15,13,2,0
43.98,7,4,0
30.88,9,4,0
60.33,5,1,0
295.82,1,2,1
43.0,13,2,0
59.01,15,2,0
20.13,21,2,0
26.5,3,4,0
91.54,3,4,1
96.28,16,2,0
127.62,1,4,0
90.93,12,2,0
56.8,0,4,1
108.05,1,2,0
35.16,0,1,0
124.67,10,1,0
9.84,21,2,0
244.89,13,3,1
46.08,3,1,0
100.92,5,2,0
72.97,7,1,0
118.0,22,2,0
23.63,10,1,0
85.92,22,2,0
101.85,18,4,0
102.99,2,3,1
23.2,23,2,0
172.25,17,4,0
69.36,6,2,0
176.55,10,1,0
90.09,13,3,0
39.14,20,2,0
37.03,7,1,0
64.85,22,1,0
11.12,2,4,0
89.55,12,3,0
52.75,13,4,1
112.92,15,1,0
37.59,16,1,0
55.19,8,2,0
20.09,6,4,0
35.48,15,2,0
65.89,14,1,0
52.48,23,1,0
33.41,11,2,0
38.75,7,1,0
68.99,4,2,0
21.67,0,1,0
193.09,23,2,1
62.13,23,1,0
151.2,11,2,0
74.93,0,3,0
129.28,13,2,0
93.46,16,2,0
145.86,17,3,0
143.45,13,2,0
57.15,2,1,0
35.41,9,3,0
64.27,0,3,0
29.39,22,2,0
75.96,22,1,0
38.74,2,2,0
119.19,2,1,0
65.33,5,1,0
57.61,4,5,0
48.03,19,3,0
119.66,18,4,0
55.19,0,2,0
85.1,14,1,0
154.0,6,1,0
118.73,3,2,0
37.9,4,1,0
89.61,15,2,0
150.57,10,1,0
66.6,4,2,0
43.66,17,3,0
43.16,6,2,0
72.14,22,2,0
263.87,11,3,0
108.86,5,2,0
47.67,12,3,0
141.16,0,3,1
26.25,15,1,0
53.5,17,1,0
104.67,19,1,0
57.91,21,2,0
198.61,21,1,0
176.87,0,5,1
18.32,15,1,0
90.11,14,1,0
29.88,8,2,0
29.18,14,2,0
27.53,4,2,0
44.62,13,2,0
57.56,2,3,0
166.28,15,1,0
107.65,20,4,0
90.15,6,1,0
81.14,6,2,0
31.35,21,2,0
50.3,23,2,0
130.39,5,1,0
109.59,18,3,0
98.28,22,3,0
20.89,20,1,0
97.86,22,3,0
13.93,16,2,0
27.37,19,1,0
109.1,12,1,0
54.89,9,1,0
151.68,11,2,0
17.32,22,3,0
108.42,3,3,0
176.3,5,3,0
202.64,10,1,0
82.37,11,3,0
208.66,12,1,0
35.15,12,1,0
50.21,1,4,0
110.89,3,2,0
33.89,1,1,0
95.19,23,2,0
116.24,15,2,0
225.97,4,1,0
93.41,9,2,0
35.29,11,3,0
84.56,20,2,0
169.88,2,1,0
30.26,5,2,0
125.64,6,7,0
91.61,14,1,0
153.11,19,1,0
107.22,9,4,0
120.9,16,1,0
146.26,7,1,0
153.8,8,2,0
34.38,6,2,0
113.34,15,1,0
81.17,16,1,0
107.48,4,1,0
204.29,13,2,0
83.64,15,2,0
24.33,11,1,0
27.58,21,1,0
142.16,2,1,0
50.01,0,1,0
79.13,18,2,0
96.68,7,1,0
91.45,19,2,0
73.55,6,3,0
210.44,2,2,0
122.13,2,3,1
50.73,6,1,0
37.64,21,2,0
45.06,16,4,0
156.45,16,1,0
149.47,17,2,0
126.7,14,2,0
79.46,23,1,0
123.98,14,1,0
84.27,21,2,0
27.76,16,1,0
96.04,17,3,0
52.42,6,3,0
54.39,2,2,0
26.71,4,2,0
67.07,3,2,0
32.51,1,3,0
30.39,3,1,0
50.59,3,1,0
31.44,7,2,0
100.5,4,4,0
49.56,6,3,0
80.5,19,1,0
189.98,15,2,0
94.05,7,1,0
59.0,16,2,0
111.93,9,2,0
72.57,16,2,0
70.99,17,2,0
85.74,23,1,0
68.34,23,3,0
53.32,4,1,0
57.18,2,1,0
98.81,18,2,0
50.76,14,4,1
179.21,6,2,0
96.36,10,2,0
105.35,9,2,0
96.06,4,2,1
225.28,16,3,0
151.61,8,5,1
14.72,0,1,0
16.47,18,1,0
26.07,0,3,0
41.52,6,1,0
75.38,16,1,0
53.16,13,3,0
109.59,10,1,0
173.55,10,1,0
55.55,1,1,0
197.9,0,2,0
83.75,9,2,0
104.85,20,2,0
135.6,18,1,0
105.35,20,3,0
66.99,3,3,0
11.94,20,2,0
171.21,6,1,0
41.35,10,1,0
139.58,10,2,0
114.98,10,2,0
62.9,6,2,0
141.69,16,4,0
51.78,3,1,0
24.95,23,4,0
101.31,0,2,0
61.37,11,2,0
31.22,16,2,0
30.89,7,2,0
20.63,7,3,0
179.33,11,2,0
103.05,13,1,0
208.99,13,1,0
24.28,13,2,0
51.72,15,3,0
75.66,9,1,0
75.52,22,3,0
19.1,22,6,0
61.9,13,2,0
47.96,18,2,0
23.63,19,2,0
36.72,1,3,0
19.73,11,1,0
51.53,21,1,0
64.73,10,2,0
43.76,9,3,0
85.79,21,2,0
201.01,19,2,0
76.62,6,2,0
134.46,12,3,0
16.99,7,1,0
104.28,6,1,0
156.96,13,4,0
18.72,0,2,0
205.0,2,1,0
22.77,5,3,0
157.95,3,3,0
53.07,6,5,0
85.63,12,2,0
246.73,21,2,1
157.28,15,1,0
102.11,8,2,0
37.16,23,1,0
33.12,6,2,0
44.42,2,1,0
63.97,10,3,0
74.78,1,4,0
84.18,1,1,0
32.64,16,3,0
33.65,13,1,0
152.01,21,2,0
81.18,19,2,0
31.4,2,1,0
87.2,14,1,0
149.6,7,1,0
105.75,11,2,0
28.74,16,2,0
52.21,22,2,0
19.07,15,3,0
47.97,20,3,0
27.16,20,1,0
14.8,5,2,0
61.4,15,1,0
39.01,21,3,0
18.08,22,2,0
78.84,22,3,0
123.54,7,1,0
37.61,22,1,0
145.59,17,3,0
30.84,12,1,0
129.06,14,2,0
8.06,2,1,0
104.66,9,1,0
89.39,5,4,0
109.85,17,1,0
89.86,13,1,0
101.75,20,1,0
52.14,17,2,0
20.13,13,3,0
138.92,0,1,0
39.63,17,2,0
190.54,9,1,0
33.75,9,1,0
74.13,22,3,0
31.17,20,2,0
100.77,16,2,0
17.37,9,1,0
66.93,20,2,0
50.72,14,2,0
74.52,20,1,0
18.96,14,1,0
85.52,23,2,0
67.04,12,3,0
271.64,2,1,1
55.61,22,1,0
21.79,21,3,0
88.39,16,1,0
140.25,5,3,1
153.75,14,2,0
7.44,14,1,0
65.78,17,2,0
61.45,2,1,0
108.04,17,1,0
12.9,1,4,0
169.08,7,1,0
37.73,23,1,0
22.72,7,1,0
71.72,3,2,0
84.9,14,1,0
24.1,3,2,0
140.27,3,1,0
93.77,12,3,0
58.19,19,1,0
90.85,2,1,0
99.65,18,2,0
119.47,1,2,0
95.9,15,3,0
82.24,14,2,0
160.84,7,2,0
109.71,17,1,0
140.95,23,1,0
46.05,10,2,0
66.66,17,1,0
97.04,17,3,0
42.5,20,1,0
98.23,6,1,0
318.07,17,2,1
66.91,17,3,0
165.96,13,3,0
15.86,12,1,0
73.82,6,1,0
14.58,7,3,0
63.74,4,2,0
57.64,18,3,0
148.96,19,2,0
142.58,22,2,0
52.89,14,1,0
49.2,6,1,0
17.6,5,1,0
203.26,20,2,0
167.23,5,3,0
41.18,19,1,0
7.13,11,4,0
109.5,20,1,0
12.06,15,4,0
84.9,6,1,0
318.02,18,1,0
20.59,7,2,0
81.53,11,1,0
18.8,1,1,0
52.67,6,2,0
64.94,8,3,0
146.72,16,2,0
122.37,19,2,0
33.21,3,1,0
105.61,13,1,0
84.3,4,1,0
59.97,20,2,0
46.86,8,2,0
98.96,6,2,0
178.53,13,1,0
48.4,14,2,0
18.26,0,1,0
352.38,11,2,0
108.02,3,1,0
132.47,22,2,0
120.5,16,2,0
56.83,11,1,0
74.65,9,1,0
261.61,13,2,0
18.96,10,2,0
76.71,5,3,0
124.5,11,2,0
92.49,11,3,0
44.08,4,1,0
102.6,7,4,0
65.46,23,2,0
36.05,16,1,0
38.39,22,1,0
61.64,10,1,0
111.83,15,1,0
191.0,20,4,1
56.23,2,4,0
24.04,3,2,0
110.69,16,1,0
31.27,5,3,0
211.94,19,1,0
19.66,11,2,0
78.16,8,3,0
77.08,11,3,0
90.07,3,5,1
144.66,7,1,0
93.99,17,3,0
47.31,10,5,1
40.58,15,2,0
41.51,0,3,0
51.28,9,1,0
80.26,5,3,0
206.24,7,5,1
30.89,15,2,0
74.51,22,1,0
114.75,6,3,0
37.65,2,2,0
91.61,11,2,0
30.09,7,1,0
51.0,13,2,0
85.1,11,2,0
38.75,2,1,0
33.07,14,3,0
90.66,2,1,0
76.81,6,1,0
75.22,4,2,0
18.03,14,2,0
32.47,20,1,0
118.54,2,2,0
340.25,7,4,1
40.66,12,4,0
170.81,14,2,0
22.04,2,1,0
34.97,18,3,0
129.45,9,2,0
51.48,11,1,0
62.24,17,1,0
34.07,14,4,0
29.93,4,4,0
210.52,3,2,0
131.63,3,3,0
70.5,13,1,0
22.03,23,1,0
41.07,21,1,0
20.09,10,2,0
119.38,10,1,0
35.0,1,1,0
157.14,19,2,0
86.67,10,3,0
29.09,17,1,0
67.44,6,4,0
90.57,6,1,0
74.59,19,2,0
97.97,7,1,0
83.99,21,1,0
126.93,2,3,0
172.75,18,3,0
48.39,22,1,0
102.57,16,2,0
150.51,2,2,0
83.99,13,1,0
54.91,2,4,0
130.94,1,1,0
55.52,14,4,0
49.14,15,2,0
10.73,0,2,0
58.09,9,3,0
94.26,3,1,0
293.38,6,2,0
84.25,20,2,0
114.17,13,1,0
58.6,7,3,0
172.2,5,3,0
38.91,20,1,0
94.55,23,3,0
294.2,11,3,1
70.27,14,2,0
59.37,3,3,0
88.1,17,2,0
65.85,17,3,0
102.46,2,4,1
131.51,6,1,0
111.24,0,2,0
65.36,5,3,0
14.51,4,3,1
425.3,0,1,1
194.51,4,3,0
98.68,3,2,0
190.86,13,2,0
26.44,22,2,0
121.24,15,2,0
75.35,19,1,0
98.92,21,1,0
81.26,20,2,0
83.61,2,1,0
46.86,16,2,0
49.89,11,1,0
72.73,9,3,0
30.61,15,4,0
47.47,14,1,0
65.93,9,3,0
99.31,15,1,0
35.57,1,2,0
179.5,9,1,0
37.89,2,4,0
17.94,1,1,0
114.15,0,1,0
96.27,11,1,0
115.79,7,1,0
43.05,16,1,0
56.06,3,2,0
94.89,7,2,0
183.44,22,1,0
68.52,8,1,0
100.82,15,2,0
74.87,9,2,0
89.77,2,1,0
59.59,5,2,0
78.13,15,2,0
110.07,5,1,0
229.92,12,3,1
42.83,5,1,0
24.04,19,2,0
94.46,17,2,0
68.4,4,1,0
45.41,23,3,0
401.93,8,1,0
146.12,18,1,0
57.02,11,2,0
56.32,17,1,0
53.9,12,2,0
110.02,17,3,0
110.2,3,2,0
68.71,9,1,0
32.48,19,5,0
174.52,11,4,0
147.1,3,2,0
81.83,6,1,0
23.42,11,2,0
157.11,20,2,0
30.33,13,1,0
67.27,2,2,0
275.18,10,5,1
56.34,5,1,0
283.65,8,2,0
50.84,13,3,0
163.59,17,2,0
46.87,14,1,0
42.9,12,4,0
24.05,1,1,0
115.9,16,2,0
24.87,19,2,0
214.77,18,2,0
47.38,2,3,0
98.61,22,1,0
15.24,6,4,0
61.89,11,3,0
23.5,14,4,0
49.55,10,1,0
168.33,3,2,1
93.52,22,2,0
146.68,6,2,0
148.48,23,4,1
82.75,12,2,0
99.03,20,3,0
21.84,0,2,0
28.33,4,2,0
61.4,4,3,0
168.35,21,1,0
46.35,6,3,0
129.79,15,2,0
8.89,21,2,0
80.13,12,1,0
238.14,12,2,0
87.38,3,2,0
30.63,12,2,0
43.94,3,4,0
92.91,11,2,0
138.45,20,2,0
83.06,17,1,0
193.15,6,2,0
89.93,15,2,0
96.03,11,1,0
43.83,10,1,0
69.82,10,2,0
27.78,23,2,0
55.63,9,1,0
180.29,15,3,0
43.89,10,1,0
110.01,12,1,0
51.79,6,1,0
122.94,0,1,0
37.04,21,3,0
88.93,17,3,0
138.06,12,2,0
121.29,23,1,0
92.27,7,2,0
92.97,12,2,0
80.45,5,1,0
68.28,10,1,0
100.17,19,3,0
29.85,16,2,0
195.14,18,2,0
38.13,14,4,0
70.35,19,1,0
8.01,2,1,0
59.1,14,2,0
134.18,0,2,0
149.86,7,1,0
56.18,0,1,0
122.8,5,1,0
17.94,14,1,0
108.93,8,3,0
211.7,8,1,0
82.05,2,3,0
35.29,14,2,0
42.64,6,2,0
15.24,4,1,0
50.9,8,2,0
20.42,13,5,0
120.92,2,1,0
47.92,19,1,0
68.3,3,1,0
150.3,8,1,0
104.3,2,2,0
38.29,19,1,0
78.3,9,2,0
88.4,3,2,0
173.96,22,1,0
115.4,21,4,0
53.75,23,2,0
107.07,10,1,0
126.62,2,5,1
330.06,9,2,0
73.29,14,3,0
22.39,11,2,0
12.08,0,2,0
13.08,5,2,0
87.98,15,1,0
161.14,1,2,0
71.18,15,4,0
58.3,23,2,0
165.19,12,2,0
55.79,4,3,0
104.23,6,1,0
89.36,4,3,1
169.89,11,3,1
21.79,2,2,0
116.0,0,2,0
123.41,17,2,0
107.6,15,2,0
88.87,14,1,0
20.75,18,3,0
31.56,2,2,0
88.82,2,2,0
81.24,5,3,0
40.05,23,1,0
54.21,0,2,1
82.58,4,2,0
61.1,1,1,0
73.69,21,1,0
282.07,17,1,0
86.14,23,1,0
35.09,13,1,0
50.88,10,2,0
111.91,19,2,0
67.31,20,3,0
85.91,15,2,0
81.98,13,5,0
48.51,19,2,0
57.07,6,2,0
35.24,18,3,0
98.89,16,1,0
99.23,10,2,0
90.17,8,1,0
134.48,4,2,0
87.53,3,3,0
52.73,1,4,0
52.05,18,4,0
53.46,22,2,0
180.53,4,1,0
96.3,3,2,0
45.52,22,1,0
89.82,20,3,0
46.85,4,2,0
44.11,14,1,0
47.68,7,2,0
34.12,13,3,0
14.56,19,2,0
40.91,14,2,0
144.76,20,4,0
55.6,15,1,0
121.52,9,1,0
69.7,7,2,0
68.9,14,3,0
73.62,2,2,0
137.02,22,2,0
82.7,10,2,0
124.33,6,2,0
102.59,14,2,0
82.69,6,1,0
37.51,0,3,0
73.62,2,1,0
59.97,15,3,0
73.39,16,4,0
37.58,18,3,0
122.25,16,2,0
35.79,10,2,0
80.03,2,3,0
50.2,20,1,0
183.75,17,1,0
70.05,5,1,0
214.62,6,1,0
66.06,14,2,0
225.55,12,5,1
73.35,9,4,0
134.04,13,5,1
60.46,17,1,0
94.37,14,1,0
89.1,4,1,0
10.72,13,2,0
75.44,20,2,0
112.35,9,1,0
6.13,18,2,0
67.73,16,3,0
94.62,9,1,0
85.05,5,2,0
89.44,11,3,0
24.17,20,1,0
80.49,16,2,0
78.21,9,5,0
49.44,0,2,0
68.39,18,1,0
208.8,0,2,0
56.85,14,2,0
161.63,1,2,0
374.0,10,1,1
147.25,5,3,0
77.68,11,1,0
107.07,17,1,0
67.71,12,3,0
65.71,7,1,0
44.42,10,2,0
42.68,10,2,0
71.15,13,1,0
116.45,10,2,0
126.5,11,4,0
32.27,22,2,0
509.65,20,3,1
121.93,4,1,0
108.95,6,1,0
131.95,16,2,0
31.4,18,2,0
68.52,8,1,0
83.82,9,1,0
104.57,2,1,0
61.06,20,1,0
28.64,23,3,0
14.28,19,3,0
90.77,23,4,1
45.74,1,2,0
71.41,18,1,0
154.63,22,2,0
67.51,15,2,0
158.35,19,2,0
89.44,1,3,0
130.31,15,5,0
38.7,16,1,0
77.44,4,1,0
200.75,6,1,0
92.73,19,1,0
29.41,8,4,0
57.33,14,1,0
93.75,16,3,0
229.0,5,2,1
69.05,6,2,0
132.55,15,2,0
103.14,6,1,0
79.06,2,2,0
38.98,14,1,0
20.02,16,3,0
31.86,13,3,0
56.18,4,1,0
38.41,3,1,0
64.48,7,5,0
138.34,12,1,0
119.82,0,1,0
41.59,2,2,0
21.21,8,1,0
17.76,12,3,0
53.7,14,1,0
26.76,1,1,0
62.45,15,2,0
56.99,17,2,0
39.59,9,1,0
8.7,4,2,0
100.14,6,1,0
161.36,12,1,0
63.85,2,1,0
18.26,6,3,0
29.72,8,4,0
66.91,7,1,0
50.49,18,2,0
64.46,7,2,0
92.92,22,1,0
32.23,5,2,0
25.52,22,1,0
40.96,14,1,0
