city,plan,tenure,monthly,support,churn
Ankara,plus,59,66.0,1.0,0
,basic,37,112.42,1.0,1
Ankara,plus,24,130.36,2.0,0
Izmir,basic,40,65.27,3.0,1
Ankara,pro,41,92.08,3.0,0
Bursa,plus,29,28.75,1.0,0
Izmir,pro,28,243.48,3.0,1
Bursa,basic,11,,2.0,1
Izmir,basic,37,113.44,1.0,0
Izmir,basic,30,81.24,2.0,0
Ankara,plus,8,62.89,0.0,1
Ankara,plus,55,247.34,3.0,0
Izmir,pro,9,,,0
Ankara,plus,57,29.32,0.0,0
Bursa,plus,18,165.05,3.0,1
Ankara,pro,9,51.47,1.0,0
Ankara,plus,18,67.19,2.0,1
Izmir,plus,52,94.36,1.0,0
Bursa,basic,40,,2.0,1
Ankara,plus,33,108.75,,0
Bursa,pro,23,61.49,1.0,0
Izmir,basic,44,33.36,1.0,0
Izmir,basic,47,107.4,1.0,0
Izmir,pro,17,135.58,1.0,0
Izmir,plus,23,74.01,2.0,0
Izmir,plus,57,47.59,4.0,0
Izmir,basic,44,33.84,2.0,0
Bursa,basic,17,128.71,3.0,1
Bursa,plus,29,158.58,2.0,0
Izmir,plus,18,87.93,1.0,0
Bursa,plus,21,111.1,0.0,1
Ankara,plus,28,68.2,,0
Ankara,plus,9,75.14,4.0,1
Ankara,plus,59,51.68,2.0,0
Ankara,basic,24,40.74,5.0,1
Izmir,basic,14,151.02,2.0,1
Ankara,plus,23,141.86,0.0,0
Bursa,basic,20,63.79,2.0,1
Ankara,pro,3,178.16,1.0,1
Izmir,pro,32,87.77,2.0,0
Ankara,basic,37,62.33,2.0,0
Bursa,basic,45,49.91,2.0,0
Ankara,pro,6,135.33,1.0,0
Ankara,basic,55,78.61,1.0,0
Ankara,plus,16,46.08,1.0,0
Izmir,plus,23,94.39,,1
Bursa,pro,19,104.89,0.0,0
Izmir,basic,11,102.09,4.0,1
Ankara,plus,50,90.96,0.0,1
Ankara,pro,58,87.56,2.0,0
Izmir,pro,22,67.89,2.0,0
Ankara,basic,42,99.28,1.0,1
Bursa,basic,1,53.33,0.0,1
Izmir,plus,41,48.72,0.0,0
,plus,30,99.22,1.0,0
Ankara,basic,31,,1.0,1
Izmir,plus,13,84.9,0.0,1
Ankara,basic,4,113.92,2.0,1
Ankara,plus,9,134.91,0.0,0
Izmir,plus,42,190.97,1.0,1
Ankara,pro,54,53.98,,0
Izmir,pro,39,137.85,,0
Ankara,basic,6,170.01,2.0,1
Izmir,basic,22,23.78,1.0,1
Ankara,basic,13,57.09,3.0,1
Bursa,basic,48,62.82,0.0,0
Ankara,basic,7,,0.0,1
Ankara,basic,20,103.57,1.0,1
Izmir,plus,14,144.5,2.0,0
Ankara,basic,10,102.88,2.0,0
Ankara,plus,2,91.51,1.0,1
Ankara,plus,42,,0.0,0
Izmir,basic,30,71.35,0.0,0
,plus,34,74.57,1.0,1
Bursa,basic,46,75.15,2.0,1
Izmir,basic,7,113.68,0.0,0
Izmir,basic,27,,1.0,0
Izmir,pro,50,131.05,3.0,0
Ankara,pro,38,71.91,0.0,0
Ankara,plus,30,106.25,1.0,0
Bursa,basic,49,117.22,0.0,1
Bursa,basic,9,72.45,1.0,1
Ankara,basic,37,106.21,1.0,1
Ankara,pro,52,37.41,2.0,0
Izmir,basic,9,80.84,0.0,0
Ankara,plus,37,42.41,0.0,0
Ankara,plus,48,46.09,2.0,0
Ankara,pro,42,77.5,3.0,0
Bursa,pro,58,124.02,0.0,0
Ankara,basic,49,,2.0,0
Izmir,pro,59,97.19,1.0,0
Ankara,basic,41,132.06,0.0,0
Ankara,plus,13,100.2,2.0,1
Bursa,plus,52,68.91,0.0,0
,basic,51,26.33,0.0,1
Izmir,basic,33,73.85,1.0,1
Ankara,basic,15,67.06,0.0,1
Bursa,plus,28,80.65,,1
Ankara,plus,17,144.98,1.0,0
Izmir,plus,11,97.53,1.0,0
Bursa,basic,25,127.5,1.0,1
Ankara,plus,17,,0.0,0
Ankara,basic,40,87.43,3.0,0
Bursa,plus,46,113.8,1.0,1
Ankara,plus,22,115.52,4.0,1
Izmir,basic,48,95.28,2.0,0
Bursa,plus,17,79.42,2.0,0
Izmir,basic,38,,1.0,0
Bursa,basic,20,89.93,2.0,1
Izmir,plus,34,74.11,2.0,0
Izmir,plus,2,161.38,1.0,1
Ankara,plus,41,100.74,1.0,1
Bursa,basic,35,66.63,1.0,1
Ankara,plus,15,81.04,3.0,1
Izmir,plus,39,64.24,2.0,0
Izmir,basic,40,39.34,1.0,1
Ankara,plus,26,97.5,2.0,0
Bursa,basic,56,82.49,3.0,1
Izmir,plus,58,80.29,4.0,0
Izmir,pro,41,54.65,2.0,0
Ankara,plus,46,,1.0,1
Izmir,pro,28,197.55,7.0,1
Izmir,plus,21,32.67,,0
Bursa,basic,42,134.2,1.0,1
Izmir,pro,35,60.23,1.0,0
Ankara,basic,33,38.55,2.0,1
Izmir,basic,30,94.6,0.0,0
Ankara,pro,5,48.54,0.0,0
Ankara,basic,12,105.16,5.0,1
Izmir,pro,44,99.83,3.0,0
Izmir,plus,23,99.12,0.0,1
,basic,54,99.19,0.0,0
Ankara,plus,40,69.01,2.0,0
Bursa,basic,53,,0.0,0
Ankara,basic,21,76.41,0.0,1
Ankara,plus,49,,0.0,0
Ankara,basic,10,36.5,0.0,1
Izmir,basic,41,37.55,2.0,0
Ankara,basic,22,77.24,2.0,0
Ankara,basic,19,78.46,0.0,1
Bursa,plus,13,39.01,1.0,1
Ankara,plus,46,69.08,1.0,0
Bursa,plus,19,47.47,2.0,1
Ankara,basic,2,75.62,1.0,1
Ankara,pro,4,86.29,0.0,1
Izmir,basic,13,42.61,4.0,1
Izmir,plus,32,83.9,0.0,0
Ankara,basic,19,110.51,4.0,1
Ankara,basic,25,54.04,1.0,1
Izmir,plus,9,80.06,0.0,0
Bursa,basic,17,67.42,3.0,1
Izmir,basic,36,48.6,0.0,0
Izmir,pro,40,21.47,0.0,0
Ankara,basic,11,141.59,5.0,1
Izmir,basic,53,125.89,1.0,0
Izmir,plus,37,41.21,1.0,0
,plus,23,69.98,3.0,1
Bursa,pro,21,,2.0,0
Ankara,basic,19,63.03,0.0,1
Izmir,plus,40,47.56,3.0,0
Izmir,pro,44,132.55,4.0,0
Izmir,basic,49,83.1,1.0,0
Izmir,basic,46,172.94,2.0,0
Izmir,basic,11,30.41,3.0,1
,pro,17,84.28,1.0,0
Ankara,basic,30,38.82,2.0,1
Izmir,basic,24,52.56,1.0,0
Ankara,basic,17,,0.0,1
Ankara,plus,7,117.99,0.0,0
Izmir,plus,23,82.67,3.0,1
Ankara,basic,47,78.04,2.0,1
Izmir,plus,58,104.96,2.0,0
Bursa,pro,31,31.86,1.0,0
Bursa,basic,28,126.95,2.0,0
Ankara,plus,52,95.48,3.0,1
Izmir,pro,55,85.91,2.0,0
Izmir,plus,27,100.98,2.0,0
Ankara,basic,50,77.81,0.0,1
Ankara,basic,20,47.78,2.0,1
Bursa,basic,2,67.02,4.0,1
Ankara,basic,54,158.15,2.0,1
Bursa,plus,33,45.36,1.0,0
Izmir,pro,1,73.34,4.0,0
Ankara,pro,4,114.47,3.0,0
Ankara,pro,26,47.21,1.0,0
Izmir,plus,17,,3.0,1
Bursa,plus,33,76.56,0.0,0
,basic,9,,,1
Bursa,basic,24,83.96,0.0,0
Ankara,pro,16,43.37,1.0,0
Ankara,basic,44,,2.0,1
Ankara,pro,5,226.42,4.0,1
Bursa,plus,46,93.75,,0
Bursa,plus,36,,0.0,0
Ankara,pro,44,33.81,1.0,0
Izmir,plus,13,97.46,2.0,1
Ankara,plus,20,56.89,1.0,1
Izmir,plus,57,95.43,2.0,0
Ankara,plus,31,95.47,1.0,1
Izmir,basic,41,35.32,3.0,0
Ankara,plus,11,82.18,0.0,0
,basic,30,28.8,0.0,0
Izmir,basic,4,137.86,2.0,1
Izmir,plus,39,58.15,0.0,0
,plus,4,112.03,1.0,1
Ankara,pro,32,37.94,5.0,1
Izmir,plus,47,221.88,0.0,0
Izmir,plus,4,49.5,2.0,1
Izmir,basic,32,48.14,1.0,0
Ankara,basic,33,,1.0,1
Izmir,pro,32,39.92,,0
Ankara,basic,45,50.47,1.0,0
Izmir,pro,41,81.97,0.0,0
Izmir,basic,27,178.39,2.0,1
Izmir,plus,41,146.34,2.0,0
Izmir,basic,49,62.98,2.0,0
Ankara,basic,38,51.95,1.0,1
Bursa,basic,57,111.13,4.0,1
Bursa,pro,29,36.91,1.0,0
Izmir,plus,59,41.12,5.0,0
Ankara,plus,46,53.77,3.0,1
Bursa,basic,37,66.55,1.0,1
Izmir,plus,10,105.73,0.0,0
Ankara,basic,40,86.46,2.0,1
Ankara,basic,39,93.74,0.0,0
Ankara,plus,10,84.2,1.0,0
Izmir,basic,20,17.51,0.0,0
Ankara,plus,23,58.77,1.0,0
Ankara,basic,8,,2.0,1
Izmir,pro,32,127.48,3.0,0
Ankara,basic,41,128.77,2.0,1
Bursa,basic,11,45.63,1.0,1
Izmir,plus,53,66.62,1.0,0
Ankara,pro,36,70.89,3.0,0
Ankara,pro,8,52.24,3.0,0
Ankara,basic,28,115.99,1.0,0
Ankara,basic,6,65.37,0.0,0
Izmir,plus,53,104.86,0.0,0
Ankara,basic,32,65.53,0.0,1
Izmir,basic,11,36.74,2.0,1
Ankara,pro,28,29.27,2.0,0
,basic,48,180.12,1.0,1
Ankara,pro,5,56.21,2.0,0
Ankara,plus,59,91.07,3.0,1
Izmir,basic,15,89.93,0.0,0
Ankara,plus,29,73.77,0.0,0
Izmir,pro,32,94.07,1.0,0
,basic,57,75.09,,0
Ankara,basic,9,75.69,4.0,1
Bursa,basic,46,74.7,0.0,0
,basic,34,21.93,0.0,0
Ankara,plus,44,58.53,1.0,0
Izmir,basic,5,84.75,2.0,1
Izmir,plus,42,,3.0,1
Ankara,plus,40,63.17,2.0,1
Ankara,basic,19,23.5,2.0,1
Bursa,basic,37,153.8,1.0,1
Izmir,basic,5,66.75,0.0,1
Bursa,basic,45,91.9,0.0,0
Ankara,plus,15,70.38,1.0,1
Izmir,basic,54,84.94,0.0,0
,pro,47,111.15,0.0,0
,basic,56,54.05,1.0,0
Ankara,basic,7,,1.0,0
,basic,46,90.23,3.0,1
Bursa,pro,12,193.4,0.0,1
Bursa,basic,35,138.0,0.0,1
Ankara,basic,48,66.81,3.0,1
Bursa,plus,42,106.78,,1
Izmir,basic,59,94.35,3.0,1
Ankara,pro,33,46.52,0.0,0
Ankara,pro,40,34.57,2.0,0
Ankara,pro,42,41.14,0.0,0
Izmir,basic,35,65.01,,1
Bursa,pro,37,82.42,,0
Ankara,pro,46,76.52,2.0,0
Izmir,basic,35,97.6,2.0,0
Ankara,plus,57,39.07,1.0,0
Ankara,basic,8,82.98,0.0,1
Bursa,basic,1,85.33,3.0,1
Bursa,pro,46,56.73,0.0,0
Ankara,basic,7,139.76,1.0,1
Ankara,pro,12,52.77,0.0,0
Izmir,pro,39,69.27,0.0,0
Izmir,pro,46,112.11,0.0,0
Ankara,basic,9,50.6,4.0,1
Ankara,basic,56,94.95,0.0,0
Ankara,plus,57,91.81,1.0,0
Izmir,plus,30,103.75,1.0,1
Bursa,basic,47,51.76,2.0,1
Ankara,plus,43,96.57,0.0,0
Izmir,basic,41,76.34,1.0,0
Izmir,plus,2,177.1,2.0,1
,basic,11,183.81,0.0,1
Izmir,plus,52,67.04,0.0,0
Ankara,plus,41,66.63,0.0,0
Izmir,pro,18,40.87,2.0,0
Izmir,plus,45,62.84,0.0,0
Ankara,pro,7,37.19,1.0,0
Izmir,basic,29,,0.0,0
Izmir,basic,25,50.39,0.0,0
Ankara,pro,22,124.37,0.0,0
Ankara,plus,11,54.69,2.0,0
Ankara,plus,5,30.62,1.0,0
Ankara,pro,20,74.52,1.0,0
Izmir,plus,55,,3.0,1
Ankara,plus,13,91.59,3.0,1
Izmir,basic,15,53.87,1.0,1
Izmir,basic,55,27.99,0.0,0
Ankara,basic,42,102.64,0.0,0
Ankara,plus,52,67.92,3.0,0
Bursa,pro,24,76.71,0.0,1
Bursa,plus,29,56.69,1.0,1
Ankara,plus,4,33.0,1.0,0
Bursa,basic,37,,1.0,1
Ankara,basic,10,42.59,1.0,1
Ankara,basic,15,46.96,0.0,1
Izmir,basic,52,117.18,1.0,0
Ankara,plus,33,86.47,2.0,0
Ankara,plus,21,61.28,2.0,0
Izmir,basic,50,186.78,2.0,1
Ankara,basic,52,69.44,2.0,1
Ankara,plus,11,43.14,2.0,1
Bursa,plus,58,81.04,0.0,0
Ankara,basic,27,70.36,0.0,1
Ankara,basic,50,40.2,2.0,0
Izmir,pro,6,104.86,1.0,0
Bursa,basic,30,84.07,3.0,1
Ankara,basic,5,33.96,2.0,0
